setID,scene,scene_binary,object_match,object_binary,match_binary
set1,teaparty,0,frisbee,0,TRUE
set1,teaparty,0,frisbee,1,FALSE
set1,pirates,1,papertoweltube,0,FALSE
set1,pirates,1,papertoweltube,1,TRUE
set2,astronauts,0,helmet,0,TRUE
set2,astronauts,0,helmet,1,FALSE
set2,campers,1,blanket,0,FALSE
set2,campers,1,blanket,1,TRUE
set3,cowboys,0,stringlights,0,TRUE
set3,cowboys,0,stringlights,1,FALSE
set3,cooks,1,hairbrush,0,FALSE
set3,cooks,1,hairbrush,1,TRUE
set4,musicians,0,broom,0,TRUE
set4,musicians,0,broom,1,FALSE
set4,doctors,1,socks,0,FALSE
set4,doctors,1,socks,1,TRUE
set5,trains,0,keys,0,TRUE
set5,trains,0,keys,1,FALSE
set5,explorers,1,icescoop,0,FALSE
set5,explorers,1,icescoop,1,TRUE
set6,firefighters,0,vacuumtube,0,TRUE
set6,fashionshow,1,pokerchips,0,FALSE
set6,fashionshow,1,pokerchips,1,TRUE
set7,construction,0,sponge,0,TRUE
set7,construction,0,sponge,1,FALSE
set7,magicians,1,featherduster,0,FALSE
set7,magicians,1,featherduster,1,TRUE
set8,knights,0,hanger,0,FALSE
set8,knights,0,hanger,1,TRUE
set8,shoppers,1,yellowball,0,TRUE
set8,shoppers,1,yellowball,1,FALSE
